title,authors,journal,year,pdf_url,pdf_week_code,page_number,entry_index_in_pdf,ingested_at
"® A systematic review of evidence-based treatments for adolescent and adult sexual assault victims - Miles LW, Valentine JL, Mabey LJ, Hopkins ES, Stodtmeister PJ, Rockwood RB, Moxley ANH. J. Am. Psychiatr. Nurs. Assoc. 2023; ePub(ePub): ePub. Adolescent delinquency following co-occurring childhood head injuries and conduct problem symptoms: findings from a UK longitudinal birth cohort","Carr HR, Hall JE, Brandt VC",Eur. Child Adolesc. Psychiatry,2023,https://www.safetylit.org/week/2024/240107.pdf,240107,1,1,2025-09-06T21:14:25.127565
"® Awareness of drowning and high-risk behaviors in rural left behind and non-left behind children in Shufu county, Kashgar, Xinjiang Uygur Autonomous Region, in 2021","Man J, Munirekiz M, Hang D, Yuzhong W, Xianfeng C, Zhoubin Z",Disease Surveil.,2023,https://www.safetylit.org/week/2024/240107.pdf,240107,2,2,2025-09-06T21:14:25.127565
® Children and adolescents with suicidal ideation and the emergency department,"Cafferty R, Grupp-Phelan J, Anthony B",J. Am. Med. Assoc. JAMA,2023,https://www.safetylit.org/week/2024/240107.pdf,240107,3,3,2025-09-06T21:14:25.127565
® Depression and hope of the university students as function of their sex and socioeconomic status,"Nipa SI, Barman TK",Int. J. Indian Psychol.,2023,https://www.safetylit.org/week/2024/240107.pdf,240107,4,4,2025-09-06T21:14:25.127565
® Examining bidirectional relations between sleep problems and non-suicidal self-injury/suicidal behavior in adolescents: emotion regulation difficulties and externalizing problems as mediators,"Yang J, Zhao Y",Eur. Child Adolesc. Psychiatry,2023,https://www.safetylit.org/week/2024/240107.pdf,240107,5,5,2025-09-06T21:14:25.127565
® Gender minority stress and resilience measure: a meta-analysis of the associations with mental health in transgender and gender diverse individuals,"Wilson LC, Newins AR, Kassing F, Casanova T",Trauma Violence Abuse,2023,https://www.safetylit.org/week/2024/240107.pdf,240107,6,6,2025-09-06T21:14:25.127565
® Interpersonal mechanisms between child maltreatment timing and young adult internalizing and externalizing symptomology,"Duprey EB, Ross AJ, Russotti J, Handley ED, Cicchetti D",J. Am. Acad. Child Adolesc. Psychiatry,2023,https://www.safetylit.org/week/2024/240107.pdf,240107,7,7,2025-09-06T21:14:25.127565
"® Multiligament knee injuries. Ten years' experience at a public university, level I trauma center - Reverté-Vinaixa MM, García-Albó E, Blasco-Casado F, Pujol O, Pijoan BJ, Joshi-Jubert N, Castellet-Feliu E, Portas- Torres I, Andrés-Peiró JV, Minguell-Monyart J. Eur. J. Orthop. Surg. Traumatol. 2023; ePub(ePub): ePub. New wine in an old bottle? Exposure to bullying-related media and bullying perpetration behavior in daily life among adolescents","Teng Z, Nie Q, Stomski M, Liu C, Guo C",Person. Soc. Psychol. Bull.,2023,https://www.safetylit.org/week/2024/240107.pdf,240107,8,8,2025-09-06T21:14:25.127565
® Perspectives of parents of adolescents with repeated non-suicidal self-injury on sharing their caretaking experiences with peers: a qualitative study,"Qin Y, Wu D, Liu J, Peng J, Li C",Front. Psychiatry,2023,https://www.safetylit.org/week/2024/240107.pdf,240107,9,9,2025-09-06T21:14:25.127565
® Risk factors associated with bullying in context of a territory exposed to armed conflict: a cross-sectional study,"Salazar Flórez JE, Humberto Montoya W, Giraldo Cardona LS",J. Interpers. Violence,2023,https://www.safetylit.org/week/2024/240107.pdf,240107,10,10,2025-09-06T21:14:25.127565
® The indirect effects of self-regulation on the association of social support with increased protective drinking behavior and decreased alcohol problems in a predominantly Hispanic college student sample,"Sanchez-Garciaguirre A, Najera S, Portillo EM, Field CA",Alcohol (Hanover),2023,https://www.safetylit.org/week/2024/240107.pdf,240107,11,11,2025-09-06T21:14:25.127565
